ID,"К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц,DBScan,KMeans
3389,1,2.70805020110221,1,2,9,10.699043747355754,7.116394144093465,302,1569,4.0,2.2666666666666666,49.56666666666667,3.582649603262288,1.0,1,2
3390,1,3.871201010907891,3,4,12,11.455743392026877,6.747586526829315,1036,841,3.152542372881356,2.8728813559322037,50.83898305084746,4.7081568651975605,1.0,5,0
3391,1,1.3862943611198906,1,1,3,10.025262609462049,3.4657359027997265,11,210,4.0,4.0,46.5,6.559526706662322,1.0,1,3
3392,1,1.9459101490553132,1,1,6,13.125745850387249,7.791522819150732,1337,472,4.0,4.0,48.73170731707317,5.334223031236517,1.0,1,6
3393,1,1.9459101490553132,1,1,5,11.5486824941823,6.448889394146858,224,172,4.0,4.0,47.0,5.099793100035442,1.0,1,3
3394,1,1.9459101490553132,1,1,1,9.09531216329713,3.1780538303479458,410,382,3.0,6.0,62.0,5.917258332949185,1.0,3,1
3395,1,0.0,1,1,1,11.27889789705394,4.499809670330265,274,17,4.0,4.0,54.0,6.779088226723674,1.0,1,3
3396,1,0.6931471805599453,1,1,1,9.345565080132406,2.8903717578961645,1,553,4.0,4.0,54.0,6.455193322236241,1.0,1,3
3397,1,0.0,1,1,1,11.07766021049937,5.0106352940962555,71,396,4.0,4.0,36.5,6.067024916403114,2.0,1,3
3398,1,1.6094379124341003,1,1,1,8.466356634813366,3.4657359027997265,1,1213,3.0,6.0,62.0,5.0006207320136395,1.0,3,1
3399,1,3.044522437723423,2,2,9,14.153065765104026,8.764365720529808,232,1668,3.8289473684210527,4.342105263157895,49.01315789473684,5.388700044574217,1.0,2,0
3400,1,0.0,1,1,1,7.091018059352843,0.0,1,1466,3.0,6.0,62.0,7.091018059352843,1.0,3,1
3401,1,0.6931471805599453,1,2,2,7.6228009282431985,3.912023005428146,1,1152,4.0,3.0,54.0,3.710777922815052,1.0,1,2
3402,1,0.0,1,1,1,9.054584404363668,2.4849066497880004,1,883,4.0,4.0,54.0,6.569677754575668,1.0,1,2
3403,1,0.0,1,1,1,5.803084675730063,0.0,1,742,4.0,4.0,59.0,5.803084675730063,1.0,1,3
3404,1,1.3862943611198906,2,2,4,12.360842490777813,7.450079569807499,139,1739,3.9,4.2,59.0,4.910762920970314,1.0,2,2
3405,1,4.990432586778736,3,7,18,15.182522663021388,9.942515939503606,1893,1,3.680272108843537,3.60374149659864,55.08163265306123,5.24000672351778,1.0,5,5
3406,1,1.0986122886681098,1,1,1,8.769786801195524,4.969813299576001,1,1800,4.0,2.0,25.0,3.7999735016195233,1.0,1,2
3407,1,3.332204510175204,3,5,11,12.63540195815282,7.629489916393995,1027,774,3.5142857142857142,4.428571428571429,55.65714285714286,5.005912041758825,1.0,5,0
3408,1,2.995732273553991,2,2,9,13.5763444279596,7.4949862339505335,1641,203,3.991596638655462,4.008403361344538,47.15966386554622,6.081358194009068,1.0,2,6
3409,1,2.1972245773362196,2,2,2,8.636500398266682,2.1972245773362196,1,920,2.4444444444444446,3.2222222222222223,57.0,6.439275820930463,1.0,2,4
3410,1,1.3862943611198906,1,1,4,13.977467829761888,7.71244383427499,168,130,4.0,4.0,47.82142857142857,6.265023995486899,1.0,1,3
3411,1,0.0,1,1,1,11.969032735525545,5.318119993844216,1,24,4.0,4.0,54.0,6.650912741681328,1.0,1,3
3412,1,2.0794415416798357,1,1,8,9.873444237937425,4.804021044733257,1,1283,4.0,4.0,41.16666666666666,5.06942319320417,1.0,1,2
3413,1,1.6094379124341003,1,1,1,8.516911151646761,1.791759469228055,436,1242,2.0,1.0,53.0,6.725151682418706,1.0,6,4
3414,1,2.8903717578961645,2,4,9,12.718483492166202,7.236339342754344,663,1242,3.897435897435898,3.333333333333333,47.61538461538461,5.482144149411857,1.0,2,0
3415,1,2.6390573296152584,2,2,7,12.32175828318433,6.3578422665081,1725,99,3.9827586206896552,4.0344827586206895,51.6551724137931,5.963916016676231,1.0,2,6
3416,1,0.0,1,1,1,9.77432602669235,3.1780538303479458,1,1737,4.0,4.0,54.0,6.596272196344404,1.0,1,2
3417,1,4.962844630259907,3,8,25,13.581903555173023,9.534740027363126,1861,46,3.923890063424947,3.0010570824524314,48.32875264270613,4.0471635278098965,2.0,5,5
3418,1,0.0,1,1,1,7.025538314638521,0.0,1,914,3.0,6.0,62.0,7.025538314638521,1.0,3,1
3419,1,0.6931471805599453,1,1,2,9.25381931368412,3.7376696182833684,1,1257,4.0,4.0,56.333333333333336,5.516149695400752,1.0,1,2
3420,1,0.0,1,1,1,7.101115682891308,0.6931471805599453,1,822,3.0,6.0,62.0,6.407968502331363,1.0,3,1
3421,1,0.0,1,1,1,7.271675909419716,1.3862943611198906,1,1639,4.0,4.0,36.5,5.885381548299825,1.0,1,2
3422,1,0.6931471805599453,1,1,2,11.275277227453136,5.768320995793772,1,198,4.0,4.0,52.5,5.506956231659364,1.0,1,3
3423,1,1.0986122886681098,1,1,3,11.085135757064988,4.8283137373023015,35,1522,4.0,4.0,55.16666666666666,6.256822019762687,1.0,1,2
3424,1,3.258096538021482,3,4,10,11.084206417634702,5.537334267018537,903,123,3.622950819672131,3.9672131147540974,49.704918032786885,5.5468721506161645,1.0,5,0
3425,2,3.5263605246161616,2,5,11,12.96473688392945,5.973809611869261,779,730,3.8333333333333335,3.2962962962962963,51.129629629629626,6.990927272060189,1.0,0,7
3426,1,1.9459101490553132,1,1,6,10.461425934412294,4.477336814478207,41,695,4.0,4.0,42.69230769230769,5.9840891199340875,1.0,1,3
3427,1,0.6931471805599453,1,1,1,8.818628749590456,2.0794415416798357,10,667,3.0,6.0,62.0,6.7391872079106205,1.0,3,1
3428,1,4.795790545596741,3,5,12,15.155624604791855,9.334503014596605,1477,431,3.477079796264856,4.254668930390492,54.33276740237691,5.821121590195251,2.0,5,5
3429,2,4.787491742782046,3,4,10,14.472701149118016,8.776630098427717,1641,259,3.38255033557047,3.8624161073825514,52.2248322147651,5.696071050690302,1.0,0,7
3430,1,4.07753744390572,3,4,12,14.967371905930992,9.083415678402515,946,0,3.775811209439528,3.943952802359882,49.56637168141593,5.8839562275284765,2.0,5,5
3431,1,3.6635616461296463,3,3,9,13.332281034901635,7.813591552952433,533,1240,3.695121951219512,4.2682926829268295,50.73170731707317,5.5186894819492025,1.0,5,0
3432,1,1.9459101490553132,1,1,4,10.283098982611564,4.653960350157523,1,1667,4.0,4.0,55.27272727272727,5.629138632454041,1.0,1,2
3433,1,3.6375861597263857,2,3,10,15.544402716803816,9.977574095888826,1320,154,3.899408284023669,4.165680473372781,47.84615384615385,5.56682862091499,1.0,2,6
3434,1,4.189654742026425,3,6,13,15.734212823858133,10.2185902205639,1870,38,3.82312925170068,4.129251700680272,49.234693877551024,5.515622603294233,1.0,5,5
3435,1,0.6931471805599453,1,1,1,12.204711719890833,5.991464547107982,1,309,4.0,4.0,33.0,6.21324717278285,1.0,1,3
3436,1,0.6931471805599453,1,1,1,6.734377606149486,0.6931471805599453,1,67,3.0,6.0,62.0,6.041230425589541,1.0,3,1
3437,1,2.1972245773362196,2,2,9,11.629791635990216,5.8289456176102075,707,151,3.973684210526316,4.026315789473684,46.92105263157895,5.8008460183800095,1.0,2,6
3438,1,0.6931471805599453,1,1,2,8.745380004082142,4.382026634673881,1,1744,4.0,4.0,58.5,4.3633533694082605,1.0,1,2
3439,1,0.0,1,1,1,9.908414395687647,3.828641396489095,1,1873,4.0,4.0,54.0,6.079772999198551,1.0,1,2
3440,1,3.784189633918261,3,5,5,12.087256000884013,5.170483995038151,1177,711,2.9066666666666667,5.36,59.053333333333335,6.9167720058458615,1.0,5,0
3441,1,2.1972245773362196,1,1,4,15.407249910798456,9.027378610294805,634,63,4.0,4.0,49.784,6.379871300503651,1.0,1,6
3442,1,1.9459101490553132,1,2,2,16.167513996827925,10.004508666594857,1186,721,4.0,3.958041958041958,52.65384615384615,6.163005330233069,2.0,1,6
3443,1,0.0,1,1,1,9.210340371976184,1.6094379124341003,1,982,3.0,5.0,32.0,7.600902459542082,1.0,4,4
3444,1,0.6931471805599453,1,1,2,10.303212886277047,5.236441962829949,1129,715,4.0,4.0,59.25,5.066770923447098,1.0,1,6
3445,1,2.4849066497880004,1,1,6,11.174275518860037,5.267858159063328,344,1284,4.0,4.0,48.38823529411765,5.90641735979671,1.0,1,2
3446,1,3.091042453358316,2,4,10,14.01029124314019,8.387995252944556,1835,4,3.9918032786885247,3.836065573770492,45.10655737704918,5.622295990195633,1.0,2,5
3447,1,3.6109179126442243,2,2,8,13.839594077778223,8.12533508671429,1782,109,3.8313253012048194,4.337349397590361,52.1566265060241,5.714258991063933,1.0,2,6
3448,1,0.6931471805599453,1,1,1,6.10389997643777,2.1972245773362196,1,1558,3.0,6.0,62.0,3.906675399101551,1.0,3,1
3449,1,0.0,1,1,1,8.735525185733225,1.3862943611198906,1,1604,4.0,1.0,54.0,7.349230824613334,1.0,1,2
3450,1,0.6931471805599453,2,2,2,11.352521943477205,5.298317366548036,1325,569,3.6666666666666665,4.333333333333333,46.66666666666666,6.054204576929168,1.0,2,6
3451,1,1.0986122886681098,2,2,2,11.964657811313225,5.849324779946859,1455,353,3.857142857142857,4.285714285714286,55.142857142857146,6.115333031366366,1.0,2,6
3452,1,0.0,1,1,1,8.70559621852606,3.4011973816621555,1,1899,4.0,4.0,61.0,5.304398836863904,1.0,1,2
3453,1,0.0,1,1,1,8.740704675035055,3.4011973816621555,1,1864,4.0,4.0,61.0,5.3395072933728995,1.0,1,2
3454,1,1.6094379124341003,2,2,2,10.109560221937839,3.4657359027997265,415,189,3.8,4.4,55.6,6.643824319138112,1.0,2,3
3455,1,1.6094379124341003,1,1,3,12.798537019538951,6.841615476477592,532,367,4.0,4.0,50.935483870967744,5.95692154306136,1.0,1,3
3456,1,1.791759469228055,2,2,2,10.276621254954332,3.970291913552122,239,1387,3.4444444444444446,5.111111111111111,58.44444444444444,6.30632934140221,1.0,2,1
3457,1,2.3978952727983707,2,2,6,11.00169509263792,5.8916442118257715,273,1611,3.947368421052632,4.0,54.47368421052632,5.110050880812149,2.0,2,2
3458,1,4.290459441148391,3,4,8,12.483296950654672,6.771935555839602,307,1577,3.5454545454545454,3.0584415584415585,57.35064935064935,5.7113613948150705,1.0,5,0
3459,1,2.6390573296152584,2,2,7,13.046589689485296,8.00603417874901,463,1432,3.948051948051948,4.103896103896104,47.44155844155844,5.040555510736287,1.0,2,0
3460,1,2.995732273553991,2,2,2,10.132785327706861,6.0473721790462776,1685,192,2.9302325581395348,5.651162790697675,61.372093023255815,4.0854131486605825,1.0,2,6
3461,1,2.5649493574615367,2,2,2,9.573923201439266,3.6888794541139363,385,1235,3.071428571428572,5.857142857142857,61.57142857142857,5.88504374732533,1.0,2,1
3462,1,0.0,1,1,1,12.644559807558116,6.0867747269123065,632,1260,4.0,4.0,54.0,6.55778508064581,1.0,1,2
