ds,y
2019-11-04,0.0
2019-11-05,1108874.98
2019-11-06,3492943.2600000002
2019-11-07,1321536.23
2019-11-08,1374206.35
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,2332512.65
2019-11-12,1280953.56
2019-11-13,4587857.4
2019-11-14,1814199.24
2019-11-15,1209264.29
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,4087331.38
2019-11-19,1660910.01
2019-11-20,3034854.22
2019-11-21,1034180.48
2019-11-22,641285.91
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,1390393.67
2019-11-26,2872209.59
2019-11-27,1476201.59
2019-11-28,2341773.67
2019-11-29,1021436.99
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,1951158.3
2019-12-03,1527354.16
2019-12-04,3687776.83
2019-12-05,1531804.17
2019-12-06,1087969.32
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,2767237.11
2019-12-10,1326955.87
2019-12-11,4388550.4
2019-12-12,4190644.12
2019-12-13,1388966.85
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,2208031.65
2019-12-17,1851993.49
2019-12-18,4057800.1
2019-12-19,2517570.29
2019-12-20,2199498.7399999998
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,2433856.98
2019-12-24,3816936.6799999997
2019-12-25,3015074.53
2019-12-26,3403452.54
2019-12-27,684012.29
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,1060957.3900000001
2019-12-31,125599.54000000001
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,2048450.46
2020-01-10,1530519.7
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,1361306.45
2020-01-14,1478367.25
2020-01-15,3514978.33
2020-01-16,3105199.42
2020-01-17,843225.95
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,941013.69
2020-01-21,883377.39
2020-01-22,1925393.25
2020-01-23,1360707.36
2020-01-24,3075626.16
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,1923979.36
2020-01-28,1202065.57
2020-01-29,5828782.48
2020-01-30,1840813.94
2020-01-31,1579925.37
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,991932.8200000001
2020-02-04,1367561.92
2020-02-05,2566145.35
2020-02-06,2888660.05
2020-02-07,1118551.54
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,1939443.29
2020-02-11,1585105.21
2020-02-12,2099345.71
2020-02-13,1945235.01
2020-02-14,1364832.32
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,1022748.42
2020-02-18,1160666.13
2020-02-19,3001635.17
2020-02-20,3722486.4
2020-02-21,1995972.66
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,1357965.65
2020-02-26,2835449.88
2020-02-27,2160381.33
2020-02-28,1400208.5999999999
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,2416561.84
2020-03-03,1001758.55
2020-03-04,2128490.2399999998
2020-03-05,2749204.42
2020-03-06,1299150.32
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3244884.06
2020-03-11,1971078.71
2020-03-12,2905331.0300000003
2020-03-13,1497398.23
